Values in the list are:
[NodeValue { value: -29.58645 }], 
[NodeValue { value: -51.265377 }], 
[NodeValue { value: -90.29579 }], 
[NodeValue { value: -35.65538 }], 
[NodeValue { value: -70.42681 }], 
[NodeValue { value: -42.241512 }], 
[NodeValue { value: -62.028034 }], 
[NodeValue { value: -17.53442 }], 
[NodeValue { value: -67.31555 }], 
[NodeValue { value: -11.038156 }], 
[NodeValue { value: -52.459064 }], 
[NodeValue { value: -12.21068 }], 
[NodeValue { value: -6.304722 }], 
[NodeValue { value: -78.40035 }], 
[NodeValue { value: -12.246897 }], 
[NodeValue { value: -97.25572 }], 
[NodeValue { value: -31.336376 }], 
[NodeValue { value: -18.143517 }], 
[NodeValue { value: -45.140495 }], 
[NodeValue { value: -4.313278 }], 
[NodeValue { value: -10.151437 }], 
[NodeValue { value: -57.01339 }], 
[NodeValue { value: -59.20159 }], 
[NodeValue { value: -6.6600795 }], 
[NodeValue { value: -79.91495 }], 
[NodeValue { value: -95.45414 }], 
[NodeValue { value: -60.968536 }], 
[NodeValue { value: -24.484924 }], 
[NodeValue { value: -65.22791 }], 
[NodeValue { value: -42.040787 }], 
[NodeValue { value: -82.26403 }], 
[NodeValue { value: -2.5865405 }], 
[NodeValue { value: -98.31639 }], 
[NodeValue { value: -25.650442 }], 
[NodeValue { value: -53.197823 }], 
[NodeValue { value: -2.3844786 }], 
[NodeValue { value: -24.802834 }], 
[NodeValue { value: -57.630985 }], 
[NodeValue { value: -85.02975 }], 
[NodeValue { value: -15.890166 }], 
[NodeValue { value: -24.305887 }], 
[NodeValue { value: -91.57893 }], 
[NodeValue { value: -87.509834 }], 
[NodeValue { value: -12.703761 }], 
[NodeValue { value: -99.276024 }], 
[NodeValue { value: -16.161709 }], 
[NodeValue { value: -96.32645 }], 
[NodeValue { value: -46.95227 }], 
[NodeValue { value: -35.489075 }], 
[NodeValue { value: -30.852974 }], 
[NodeValue { value: -76.79315 }], 
[NodeValue { value: -86.94452 }], 
[NodeValue { value: -6.7929997 }], 
[NodeValue { value: -66.37775 }], 
[NodeValue { value: -47.32551 }], 
[NodeValue { value: -27.63268 }], 
[NodeValue { value: -27.983358 }], 
[NodeValue { value: -79.2904 }], 
[NodeValue { value: -65.73137 }], 
[NodeValue { value: -8.331537 }], 
[NodeValue { value: -92.19055 }], 
[NodeValue { value: -32.09527 }], 
[NodeValue { value: -14.417999 }], 
[NodeValue { value: -45.148422 }], 
[NodeValue { value: -54.494164 }], 
[NodeValue { value: -87.50236 }], 
[NodeValue { value: -50.384068 }], 
[NodeValue { value: -88.42636 }], 
[NodeValue { value: -35.342815 }], 
[NodeValue { value: -74.184746 }], 
[NodeValue { value: -31.130718 }], 
[NodeValue { value: -17.614403 }], 
[NodeValue { value: -95.727 }], 
[NodeValue { value: -32.43092 }], 
[NodeValue { value: -76.933784 }], 
[NodeValue { value: -30.751406 }], 
[NodeValue { value: -46.44577 }], 
[NodeValue { value: -38.16574 }], 
[NodeValue { value: -84.32347 }], 
[NodeValue { value: -12.657926 }], 
[NodeValue { value: -62.63435 }], 
[NodeValue { value: -49.214706 }], 
[NodeValue { value: -98.735535 }], 
[NodeValue { value: -59.160545 }], 
[NodeValue { value: -80.33612 }], 
[NodeValue { value: -66.9783 }], 
[NodeValue { value: -42.072235 }], 
[NodeValue { value: -86.083176 }], 
[NodeValue { value: -33.543686 }], 
[NodeValue { value: -4.66676 }], 
[NodeValue { value: -28.07811 }], 
[NodeValue { value: -12.583228 }], 
[NodeValue { value: -30.644814 }], 
[NodeValue { value: -15.022033 }], 
[NodeValue { value: -41.226692 }], 
[NodeValue { value: -84.28302 }], 
[NodeValue { value: -16.20673 }], 
[NodeValue { value: -71.02925 }], 
[NodeValue { value: -51.90041 }], 
[NodeValue { value: -67.6769 }], 
[NodeValue { value: -82.21545 }], 
[NodeValue { value: -42.006607 }], 
[NodeValue { value: -58.860493 }], 
[NodeValue { value: -59.07469 }], 
[NodeValue { value: -26.806671 }], 
[NodeValue { value: -39.63115 }], 
[NodeValue { value: -50.607872 }], 
[NodeValue { value: -99.28252 }], 
