Values in the list are:
[NodeValue { value: 43.85123 }], 
[NodeValue { value: 29.00661 }], 
[NodeValue { value: 6.2102633 }], 
[NodeValue { value: 80.670845 }], 
[NodeValue { value: 26.897543 }], 
[NodeValue { value: 69.03702 }], 
[NodeValue { value: 30.732874 }], 
[NodeValue { value: 32.804462 }], 
[NodeValue { value: 40.38463 }], 
[NodeValue { value: 85.29485 }], 
[NodeValue { value: 20.506237 }], 
[NodeValue { value: 22.495974 }], 
[NodeValue { value: 11.257481 }], 
[NodeValue { value: 30.44816 }], 
[NodeValue { value: 17.28057 }], 
[NodeValue { value: 52.141357 }], 
[NodeValue { value: 48.997036 }], 
[NodeValue { value: 66.275154 }], 
[NodeValue { value: 15.855833 }], 
[NodeValue { value: 61.12293 }], 
[NodeValue { value: 72.85639 }], 
[NodeValue { value: 76.21418 }], 
[NodeValue { value: 91.90411 }], 
[NodeValue { value: 38.569386 }], 
[NodeValue { value: 82.1869 }], 
[NodeValue { value: 14.892737 }], 
[NodeValue { value: 86.09685 }], 
[NodeValue { value: 7.185339 }], 
[NodeValue { value: 90.082436 }], 
[NodeValue { value: 85.01187 }], 
[NodeValue { value: 90.5274 }], 
[NodeValue { value: 52.7174 }], 
[NodeValue { value: 65.093506 }], 
[NodeValue { value: 84.611 }], 
[NodeValue { value: 88.43066 }], 
[NodeValue { value: 38.394768 }], 
[NodeValue { value: 28.317282 }], 
[NodeValue { value: 47.268475 }], 
[NodeValue { value: 54.476093 }], 
[NodeValue { value: 99.680435 }], 
[NodeValue { value: 4.17317 }], 
[NodeValue { value: 56.13605 }], 
[NodeValue { value: 92.43375 }], 
[NodeValue { value: 39.115154 }], 
[NodeValue { value: 16.322994 }], 
[NodeValue { value: 21.798515 }], 
[NodeValue { value: 73.325 }], 
[NodeValue { value: 87.15099 }], 
[NodeValue { value: 2.2296135 }], 
[NodeValue { value: 95.50456 }], 
[NodeValue { value: 32.721592 }], 
[NodeValue { value: 69.82768 }], 
[NodeValue { value: 49.324318 }], 
[NodeValue { value: 19.675718 }], 
[NodeValue { value: 23.54226 }], 
[NodeValue { value: 85.82039 }], 
[NodeValue { value: 70.6004 }], 
[NodeValue { value: 42.88304 }], 
[NodeValue { value: 32.918587 }], 
[NodeValue { value: 26.325985 }], 
[NodeValue { value: 36.36974 }], 
[NodeValue { value: 31.399372 }], 
[NodeValue { value: 85.6842 }], 
[NodeValue { value: 99.842766 }], 
[NodeValue { value: 94.87988 }], 
[NodeValue { value: 92.0887 }], 
[NodeValue { value: 87.376335 }], 
[NodeValue { value: 29.167168 }], 
[NodeValue { value: 14.983181 }], 
[NodeValue { value: 14.492943 }], 
[NodeValue { value: 94.89782 }], 
[NodeValue { value: 5.8060255 }], 
[NodeValue { value: 81.03142 }], 
[NodeValue { value: 51.229225 }], 
[NodeValue { value: 58.02809 }], 
[NodeValue { value: 69.78116 }], 
[NodeValue { value: 29.897278 }], 
[NodeValue { value: 90.11718 }], 
[NodeValue { value: 73.78779 }], 
[NodeValue { value: 53.935688 }], 
[NodeValue { value: 63.89893 }], 
[NodeValue { value: 39.01601 }], 
[NodeValue { value: 46.177284 }], 
[NodeValue { value: 8.234873 }], 
[NodeValue { value: 48.863934 }], 
[NodeValue { value: 92.25282 }], 
[NodeValue { value: 88.15417 }], 
[NodeValue { value: 27.154222 }], 
[NodeValue { value: 60.908142 }], 
[NodeValue { value: 86.93204 }], 
[NodeValue { value: 90.01032 }], 
[NodeValue { value: 15.340417 }], 
[NodeValue { value: 56.973686 }], 
[NodeValue { value: 87.157616 }], 
[NodeValue { value: 74.915634 }], 
[NodeValue { value: 14.772126 }], 
[NodeValue { value: 90.53973 }], 
[NodeValue { value: 69.21024 }], 
[NodeValue { value: 94.824196 }], 
[NodeValue { value: 23.588264 }], 
